Strategy,Net Profit (EUR),Revenue (EUR),Degradation (EUR),Cycles,Profit/Cycle,Discharge Hours,Charge Hours,Avg Discharge Price,Avg Charge Price,Utilization %
Time-Based,19203757.785386767,21901891.724841427,2698133.9394546975,597.1852800422015,32157.11844744346,4282,4069,190.07614957963568,33.52373924797247,47.6600844652437
Spread (>30),13349580.627790455,14905700.48870354,1556119.8609131156,344.51540435866184,38748.86422754182,1993,1949,183.22868539889615,101.1624307337096,22.49743180002283
"Threshold (>150, <30)",12436052.72613943,13925895.758683262,1489843.0325438567,329.85169898110155,37701.95140590116,1765,1840,249.0408413597734,36.5686277173913,20.574135372674352
Spread (>50),12411321.979313508,13762712.43567642,1351390.4563629043,299.21915611754986,41479.035434608515,1829,1714,193.23355658829962,107.19875,20.220294486930715
Data-Driven,12229825.522421408,13710949.361192951,1481123.838771537,327.9225830026661,37294.85603107114,2347,2128,228.63581913080526,49.86834703947368,25.539321995206027
"Threshold (>200, <0)",11911685.438022092,12960403.403688094,1048717.9656660208,232.25306346230494,51287.52775291327,1216,1372,343.43440172697365,38.19681304664723,14.770003424266637
Optimal (Perfect Foresight),1016013.8912481099,1077206.3689480065,61192.47769989676,13.763688447441453,73818.43138399269,72,69,480.45795138888883,49.91851449275362,0.8047026595137542
Baseline (Idle),0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
