Strategy,Net Profit (EUR),Revenue (EUR),Degradation (EUR),Cycles,Profit/Cycle,Discharge Hours,Charge Hours,Avg Discharge Price,Avg Charge Price,Utilization %
Time-Based,4714708.998375189,5524295.684233708,809586.6858585281,179.34542258788957,26288.42671501532,1285,1219,166.0001420233463,21.773174733388025,47.631729123073995
Spread (>30),3038406.525712157,3504648.446869691,466241.92115753033,103.38061563526243,29390.48589565351,579,558,170.28945164075992,54.552020609318994,21.628305116986873
ML Ensemble,2592366.007975829,2979988.5669727297,387622.55899689795,85.98613264533766,30148.652209635016,590,535,214.2593559322034,18.55309813084112,21.40003804451208
Data-Driven,2527181.5764987404,2905006.880404789,377825.30390604486,83.81849629797574,30150.64321262195,589,514,208.915857385399,28.748535992217896,20.981548411641622
ML Action Classifier (Acc=0.94),2474584.471447266,2870938.665054928,396354.1936076572,87.73300953050435,28205.854155577155,548,526,204.04810218978102,17.3180180608365,20.4299029864942
ML Price Predictor (MAE=7),2343129.5433543096,2702452.064177369,359322.5208230576,79.72476751719886,29390.233629076825,541,441,212.5282486136784,8.468344671201814,18.6798554308541
"Threshold (>150, <30)",2342718.6039031553,2708352.448980689,365633.845077533,81.12114392335792,28879.259963549353,435,448,217.65025287356326,7.855362723214285,16.796652082937037
Baseline (Idle),0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
